step,time
1,2.076423683
2,0.001701251
3,0.001408549
4,0.001259498
5,0.001173839
6,0.001116796
7,0.001256182
8,0.002246762
9,0.001439061
10,0.001288588
11,0.001385618
12,0.001493167
13,0.001516382
14,0.001613981
15,0.00226486
16,0.002393728
17,0.002748496
18,0.001882709
19,0.001942026
20,0.002111355
21,0.002275568
22,0.002571301
23,0.003390184
24,0.002486874
25,0.002345213
26,0.002223547
27,0.002060566
28,0.002113346
29,0.001959746
30,0.002084065
31,0.002060092
32,0.002369092
33,0.001784541
34,0.001539976
35,0.001506906
36,0.001436218
37,0.001343926
38,0.00115394
39,0.00110334
40,0.00110751
41,0.001091874
42,0.000957132
43,0.001115563
44,0.000985179
45,0.000795004
46,0.000811302
47,0.000660166
48,0.000580665
49,0.000484772
50,0.000519264
51,0.000378172
52,0.000310137
53,0.000444407
54,0.000269865
55,0.000254041
56,0.000212254
57,0.000194439
58,0.000180794
59,0.000160707
60,0.000190365
61,0.00013787
62,0.000124509
63,0.000110296
64,0.000101578
65,9.523e-5
66,8.8881e-5
67,8.2249e-5
68,7.0593e-5
69,6.434e-5
70,7.1351e-5
71,5.8559e-5
72,4.9557e-5
73,4.7094e-5
74,4.1219e-5
75,3.686e-5
76,3.4491e-5
77,3.4965e-5
78,3.0417e-5
79,2.7006e-5
80,2.4921e-5
81,2.4827e-5
82,2.2552e-5
83,2.0278e-5
84,1.8383e-5
85,1.7246e-5
86,1.6488e-5
87,1.6203e-5
88,1.554e-5
89,1.4782e-5
90,1.4687e-5
91,1.3834e-5
92,1.3266e-5
93,1.1939e-5
94,1.1371e-5
95,1.0518e-5
96,1.0423e-5
97,1.0613e-5
98,1.0897e-5
99,1.0802e-5
100,1.0423e-5
101,1.0138e-5
102,1.0234e-5
103,1.0139e-5
104,9.854e-6
105,9.57e-6
106,9.475e-6
107,8.907e-6
108,9.286e-6
109,9.001e-6
110,8.907e-6
111,8.813e-6
112,8.813e-6
113,8.718e-6
114,8.339e-6
115,8.434e-6
116,8.244e-6
117,8.149e-6
118,8.338e-6
119,8.338e-6
120,8.244e-6
121,8.149e-6
122,8.244e-6
123,2.113e-5
124,8.528e-6
125,8.338e-6
126,8.244e-6
127,8.244e-6
128,8.243e-6
129,8.244e-6
130,1.8288e-5
131,8.338e-6
132,8.338e-6
133,8.243e-6
134,8.244e-6
135,8.244e-6
136,8.339e-6
137,8.339e-6
138,8.149e-6
139,8.244e-6
140,8.338e-6
141,8.149e-6
142,8.339e-6
143,8.244e-6
144,8.338e-6
145,8.149e-6
146,8.244e-6
147,8.149e-6
148,8.243e-6
149,8.244e-6
150,8.244e-6
151,8.244e-6
152,8.244e-6
153,8.244e-6
154,8.244e-6
155,8.339e-6
156,8.244e-6
157,8.244e-6
158,8.243e-6
159,8.243e-6
160,8.244e-6
161,8.244e-6
162,8.244e-6
163,8.244e-6
164,8.244e-6
165,8.339e-6
166,8.244e-6
167,8.244e-6
168,8.339e-6
169,8.244e-6
170,8.338e-6
171,8.243e-6
172,8.244e-6
173,8.244e-6
174,8.149e-6
175,8.243e-6
176,8.338e-6
177,8.149e-6
178,8.244e-6
179,8.244e-6
180,8.244e-6
181,8.244e-6
182,8.339e-6
183,8.339e-6
184,8.244e-6
185,8.339e-6
186,1.1181e-5
187,8.434e-6
188,8.149e-6
189,4.7852e-5
190,8.623e-6
191,8.149e-6
192,8.338e-6
193,8.149e-6
194,8.244e-6
195,8.339e-6
196,8.339e-6
197,8.149e-6
198,8.243e-6
199,8.243e-6
200,8.244e-6
201,8.244e-6
202,8.244e-6
203,8.244e-6
204,8.244e-6
205,8.243e-6
206,8.244e-6
207,8.244e-6
208,8.244e-6
209,8.338e-6
210,8.149e-6
211,8.244e-6
212,8.339e-6
213,8.244e-6
214,8.244e-6
215,8.149e-6
216,8.338e-6
217,8.433e-6
218,8.243e-6
219,8.243e-6
220,8.243e-6
221,8.338e-6
222,8.244e-6
223,8.244e-6
224,8.244e-6
225,8.339e-6
226,8.244e-6
227,1.9141e-5
228,8.433e-6
229,8.339e-6
230,8.244e-6
231,8.244e-6
232,8.244e-6
233,8.338e-6
234,8.244e-6
235,8.244e-6
236,8.244e-6
237,8.338e-6
238,8.243e-6
239,8.244e-6
240,8.339e-6
241,8.339e-6
242,8.149e-6
243,8.433e-6
244,8.244e-6
245,8.338e-6
246,8.244e-6
247,8.243e-6
248,8.244e-6
249,8.244e-6
250,8.339e-6
251,8.244e-6
252,8.244e-6
253,8.243e-6
254,8.149e-6
255,8.244e-6
256,8.243e-6
257,8.339e-6
258,8.244e-6
259,8.244e-6
260,8.149e-6
261,8.434e-6
262,8.338e-6
263,8.244e-6
264,8.244e-6
265,8.338e-6
266,8.244e-6
267,8.244e-6
268,8.338e-6
269,8.433e-6
270,8.338e-6
271,8.244e-6
272,8.244e-6
273,8.243e-6
274,8.244e-6
275,8.244e-6
276,8.339e-6
277,8.244e-6
278,8.244e-6
279,8.243e-6
280,8.244e-6
281,8.339e-6
282,8.244e-6
283,8.244e-6
284,8.244e-6
285,8.339e-6
286,8.434e-6
287,8.339e-6
288,8.339e-6
289,8.339e-6
290,8.244e-6
291,8.243e-6
292,8.338e-6
293,8.244e-6
294,8.243e-6
295,8.243e-6
296,8.244e-6
297,8.434e-6
298,8.244e-6
299,8.338e-6
300,8.339e-6
301,8.243e-6
302,8.243e-6
303,8.244e-6
304,8.339e-6
305,8.244e-6
306,8.339e-6
307,8.243e-6
308,8.244e-6
309,8.149e-6
310,8.244e-6
311,8.244e-6
312,8.244e-6
313,8.244e-6
314,8.244e-6
315,8.243e-6
316,8.338e-6
317,8.339e-6
318,8.149e-6
319,8.338e-6
320,8.244e-6
321,8.149e-6
322,8.338e-6
323,8.339e-6
324,8.339e-6
325,8.244e-6
326,8.244e-6
327,8.244e-6
328,8.244e-6
329,8.244e-6
330,8.244e-6
331,8.244e-6
332,8.244e-6
333,8.243e-6
334,8.339e-6
335,8.244e-6
336,8.149e-6
337,1.9046e-5
338,8.434e-6
339,8.244e-6
340,8.244e-6
341,8.244e-6
342,8.244e-6
343,8.244e-6
344,8.243e-6
345,8.244e-6
346,8.339e-6
347,8.339e-6
348,8.149e-6
349,8.244e-6
350,8.244e-6
351,8.339e-6
352,8.149e-6
353,8.339e-6
354,8.244e-6
355,8.243e-6
356,8.244e-6
357,8.339e-6
358,8.244e-6
359,8.339e-6
360,8.244e-6
361,8.244e-6
362,8.244e-6
363,8.244e-6
364,8.244e-6
365,8.243e-6
366,8.243e-6
367,8.244e-6
368,8.244e-6
369,8.243e-6
370,8.244e-6
371,8.244e-6
372,8.339e-6
373,8.149e-6
374,8.244e-6
375,8.339e-6
376,8.244e-6
377,8.243e-6
378,8.244e-6
379,8.149e-6
380,8.149e-6
381,8.244e-6
382,8.149e-6
383,8.244e-6
384,8.244e-6
385,8.339e-6
386,8.149e-6
387,8.244e-6
388,8.243e-6
389,8.244e-6
390,8.244e-6
391,8.244e-6
392,8.243e-6
393,8.244e-6
394,8.243e-6
395,8.244e-6
396,8.433e-6
397,8.433e-6
398,8.338e-6
399,8.243e-6
400,8.528e-6
401,8.244e-6
